Token,Action,Amount
AAXMHQ,Other,7.0
ADS,Other,7.0
AFBGKNRW,Other,2.0
AJPPVKEK,Other,10.0
AJPPVKEK,Trustline,10.0
AKSDF,Other,12.0
APM,Other,6.0
APTA,Other,304.0
AVCIA,Other,5.0
AXBMY,Trustline,5.0
BGI,Other,17.4383952
BJ,Other,6.0
BJ,Trustline,3.0
BLCK,Other,1550.0
BLCKGA,Trustline,1550.0
CCIKOUH,Other,3.0
CICC,Other,93.0
CICC,Trustline,78.0
CJQSGDEYUA,Other,4.0
CLDLGH,Other,434.0
CMSH,Other,5.0
CNSYRKJ,Other,4.0
CP,Other,172.0
CQFYAOCMSFCZSUTR,Other,4.0
CQSFSNMG,Trustline,5.0
CRCM,Other,2.0
CUCMGU,Other,63.0
DCM,Other,10.0
DCM,Trustline,5.0
DG,Other,124.0
DG,Trustline,104.0
DJ,Other,6.0
DJBDB,Trustline,2.0
DOA,Other,24.0
DRLKMGEDOP,Other,3.0
DXEBLRQOLLIDRSSNOMLZIJDEDEZN,Other,7.0
DYLDEFBZSCPMGMFEXPXADNSZS,Other,3.0
EKMCOIWN,Other,4.0
ETNQ,Other,2.0
EV,Other,12.0
EY,Trustline,2.0
EYSLYCSB,Other,4.0
EZHLFKEIDZ,Other,4.0
EZHLFKEIDZ,Trustline,4.0
FG,Other,2.0
FH,Other,5.0
FSQMESKTRKYFVI,Trustline,6.0
FVJQFHQV,Other,4.0
FW,Other,14.0
FW,Trustline,14.0
GA,Trustline,22.0
GGA,Trustline,722.0
GJWCVQ,Other,3.0
GL,Other,7.0
GM,Other,3.0
GMFCKNY,Other,288.0
GXMSKBKMDHXEJ,Other,7.0
GYGUWPOU,Other,6.0
HE,Other,42.0
HN,Other,74.0
HR,Other,2.0
HS,Other,66.0
HXSTJ,Other,4.0
HZHYZPEKD,Trustline,10.0
IB,Other,5.0
ID,Other,4.0
IEUPV,Other,6.0
IF,Other,8.0
IF,Trustline,4.0
IHOJAPP,Other,3.0
IKXOXZPYUSD,Other,26.0
ILVZ,Trustline,14.0
INVESCO,Other,1795.8
IX,Trustline,7.0
JA,Trustline,14.0
JFVSM,Other,45.0
JFWAA,Other,5.0
JRC,Other,37.0
JWMTTRNELVURWRNMTJIW,Other,4.0
JWPLKWASR,Trustline,14.0
KEKDAQOGFDGN,Other,20.0
KENUSLG,Other,5.0
KGX,Other,2.0
KH,Other,8.0
KLVJG,Trustline,5.0
KMDZKA,Other,3.0
KMRNZPJZZIMZ,Other,2.0
KRP,Other,72.0
KTIJ,Other,5.0
KU,Other,6.0
KVXAYQ,Other,3.0
KZVN,Other,4.0
LB,Trustline,2.0
LBMYL,Other,6.0
LBMYL,Trustline,9.0
LHDCTCCHNGRGUU,Trustline,4.0
LT,Other,75.0
LVES,Other,14.0
LVES,Trustline,7.0
LVQK,Other,12.0
LVQK,Trustline,18.0
LWQTRNZNTTFF,Other,504.0
MC,Other,150.0
MC,Trustline,156.0
MCM,Other,36.0
MF,Other,7.0
MFBHQUUGA,Other,7.0
MFLPDNECWQ,Other,3.0
MGS,Other,32.0
MJMVUFDTHTJA,Trustline,352.0
MMXJTEDL,Other,6.0
MNM,Other,3.0
MOP,Other,5.0
MVGFWO,Other,7.0
NGMEPDKVXSKYP,Other,6.0
NGMEPDKVXSKYP,Trustline,3.0
NJ,Other,2.0
NMYXD,Other,7.0
NPHCVMFFAYZVUVFFVKSIZ,Other,45.0
NR,Other,93.0
NR,Trustline,78.0
NXEUV,Other,7.0
OAFYS,Other,6.0
OAFYS,Trustline,3.0
OAQAZTV,Other,7.0
OICMMFSE,Other,44.0
OIJJVHLCWLZWYV,Other,5.0
OINKAL,Other,3.0
OKFWTW,Other,2.0
ONPRC,Other,3.0
OO,Other,7.0
OOWQFBERL,Other,3.0
OQDSDXN,Other,7.0
OUVGAKLI,Other,5.0
OYYSNADZXILOSCRHZGLZGA,Trustline,3.0
PAMKBA,Other,4.0
PAPROQ,Trustline,5.0
PAYYEYXML,Other,5.0
PB,Trustline,2.0
PCAB,Trustline,8.0
PCKX,Other,3.0
PFK,Trustline,56.0
PTQP,Other,4.0
PU,Other,6.0
QAQXQNDSCSETDHPYYHIEAUCEC,Other,72.0
QEHKEEA,Other,2.0
QFAAWQKYBMND,Other,46.0
QKZMFLPRDTD,Other,3.0
QM,Trustline,45.0
QOKSEISXB,Other,16.0
QQV,Other,7.0
QUAR,Other,4.0
QUAR,Trustline,2.0
RABZK,Other,7.0
RDFCIFZGS,Other,48.0
RE,Other,5.0
RGIHVIQ,Other,5.0
RHODGA,Trustline,12.0
RHTM,Other,4.0
RHXWIONKM,Other,6.0
RHXWIONKM,Trustline,3.0
RPWOCHE,Other,32.0
RS,Other,8.0
RSNBN,Other,20.0
RUME,Other,562.8573795
SK,Other,4.0
SO,Other,8.0
SO,Trustline,4.0
SORFBMDGA,Trustline,6.0
SQPFM,Other,4.0
SYLJHVVE,Other,46.0
TBERGKRHOD,Other,74.0
TBERGKRHODGA,Trustline,111.0
TBKQCIASQXP,Trustline,5.0
TFGHFBLCKGA,Trustline,4.0
TIP,Other,3.0
TJA,Trustline,25.0
TJZARJMUMCYCOMYH,Other,6.0
TJZARJMUMCYCOMYH,Trustline,9.0
TOQS,Other,6.0
TSWOQUSDR,Other,4.0
TSWOQUSDRGA,Trustline,2.0
TUSVAGJMXOGUNZ,Other,2.0
TV,Other,6.0
TX,Other,49.0
TZ,Other,10.0
TZ,Trustline,5.0
UA,Other,4.0
UAPYX,Other,4.0
UAPYX,Trustline,6.0
UBOBGWVF,Other,2.0
UPQNXYHKG,Other,5.0
USBANK,Other,110.45
USD,Other,684.514064
USPYUSD,Other,7.0
UWIXYYQTNG,Other,6.0
UXU,Other,2.0
VA,Trustline,3.0
VBPONFZJ,Other,7.0
VFXJVYBZM,Other,6.0
VKMOAJP,Other,2.0
VPP,Other,62.0
VPP,Trustline,52.0
VQRZDEUIGQWSH,Other,6.0
VQRZDEUIGQWSH,Trustline,3.0
VS,Other,12.0
VV,Trustline,5.0
WEBLMUXDPDHUVI,Other,28.0
WEBZLI,Trustline,8.0
WF,Other,4.0
WF,Trustline,2.0
WHZOLCYGDVFUBNDSYTZCRNYOISSLJC,Other,217.0
WHZOLCYGDVFUBNDSYTZCRNYOISSLJC,Trustline,182.0
WIN,Trustline,2.0
WN,Other,5.0
WOOI,Trustline,2.0
WSL,Other,2.0
WVMH,Other,188.0
WWS,Trustline,4.0
WXZ,Other,4.0
WZHVNUAZ,Other,2.0
WZMBBGWBQEGONHZO,Other,3.0
XFTYIF,Other,10.0
XFTYIF,Trustline,10.0
XLM,Other,106597.6542404
XLM,Trustline,125830.00026000002
XMP,Other,1380.0
XSWED,Other,6.0
XSWED,Trustline,9.0
XYGIDW,Other,3.0
XZQL,Other,16.0
YEJRSITDZ,Other,3.0
YGT,Other,21.0
YKQZBRCHGHF,Other,5.0
YMFP,Other,4.0
YMFP,Trustline,4.0
YMOPDVG,Trustline,22.0
YQCQF,Other,16.0
YQIVCAOK,Other,4.0
YR,Trustline,76.0
YSCCW,Other,96.0
ZG,Other,672.0
ZILNHWIJBEUG,Other,5.0
ZK,Other,7.0
ZPACNSZBQWUY,Other,5.0
ZSEJYB,Other,5.0
ZSS,Trustline,3.0
ZSWUXX,Other,5.0
ZXFP,Other,362.0
